lang,,SP, ,HIP, ,HCP, ,OPT, ,NS, ,NT, ,WHM, ,PI, ,TM, ,VtoI, ,ItoC, ,AH, ,QInv,
"132",0,1.2e-322,2307,1.2e-322,814,0.5,-1,0.5,-1,0.003967712,-1,0.941538116,-1,0.5,-1,1.56E-292,4767,2.34E-257,5200,2.83E-94,14729,0.5,-1,5.87E-212,6391,0.5,-1
"132",0,1.2e-322,2265,1.2e-322,760,0.5,-1,0.5,-1,0.003449121,-1,0.936308097,-1,0.5,-1,1.77E-291,4262,5.45E-261,4770,4.20E-94,14539,0.5,-1,6.37E-212,6407,0.5,-1
"132",0,1.2e-322,2299,1.2e-322,729,0.5,-1,0.5,-1,0.004076354,-1,0.939899068,-1,0.5,-1,1.23E-290,4497,3.23E-258,5297,2.45E-94,14442,0.5,-1,5.94E-212,6372,0.5,-1
"132",0,1.2e-322,2385,1.2e-322,773,0.5,-1,0.5,-1,0.003877451,-1,0.928940573,-1,0.5,-1,9.07E-292,5048,4.11E-259,5495,2.20E-94,14444,0.5,-1,5.06E-212,6383,0.5,-1
"132",0,1.2e-322,2029,1.2e-322,785,0.5,-1,0.5,-1,0.003963744,-1,0.943121092,-1,0.5,-1,3.88E-292,4756,1.35E-257,5304,3.24E-94,14393,0.5,-1,6.97E-212,6394,0.5,-1
"132",0,1.2e-322,2206,1.2e-322,766,0.5,-1,0.5,-1,0.00353648,-1,0.941883835,-1,0.5,-1,1.36E-290,4622,3.57E-260,5307,3.38E-94,14298,0.5,-1,6.07E-212,6429,0.5,-1
"132",0,1.2e-322,2170,1.2e-322,797,0.5,-1,0.5,-1,0.003789244,-1,0.936557113,-1,0.5,-1,7.57E-290,4870,2.34E-258,5141,3.28E-94,14459,0.5,-1,6.33E-212,6424,0.5,-1
"132",0,1.2e-322,2088,1.2e-322,755,0.5,-1,0.5,-1,0.003924284,-1,0.945719204,-1,0.5,-1,1.42E-289,4682,1.22E-257,5217,3.92E-94,14628,0.5,-1,6.30E-212,6402,0.5,-1
"132",0,1.2e-322,2161,1.2e-322,751,0.5,-1,0.5,-1,0.003885218,-1,0.943493135,-1,0.5,-1,4.48E-288,4758,8.01E-258,5644,3.34E-94,14528,0.5,-1,6.72E-212,6399,0.5,-1
"132",0,1.2e-322,2218,1.2e-322,765,0.5,-1,0.5,-1,0.00343191,-1,0.944212344,-1,0.5,-1,1.92E-290,4588,1.00E-258,5276,2.32E-94,14576,0.5,-1,5.69E-212,6395,0.5,-1
