2183
200 eChildren
1000 sentences
 ,SP, ,HIP, ,HCP, ,OPT, ,NS, ,NT, ,WHM, ,PI, ,TM, ,VtoI, ,ItoC, ,AH, ,QInv, 
eChild 10,0.03269566860467172,-1,0.9996312950004642,873,0.5,-1,0.5,-1,0.4965104825174895,-1,0.5871102826825612,-1,0.5,-1,0.19346195042409892,-1,0.15181282790414324,-1,0.3177870318655373,-1,0.5,-1,0.18793924997478756,-1,0.5,-1
eChild 11,0.03843099398637606,-1,0.9992055105213835,975,0.5,-1,0.5,-1,0.4930453184995005,-1,0.5689402239387819,-1,0.5,-1,0.11913006493385431,-1,0.1549110488817788,-1,0.32226959666980315,-1,0.5,-1,0.18775131072481277,-1,0.5,-1
eChild 12,0.025143701188821217,-1,0.9994802006407879,909,0.5,-1,0.5,-1,0.4965104825174895,-1,0.5585231330079146,-1,0.5,-1,0.09932442504102047,-1,0.17137679477027692,-1,0.3334208358186289,-1,0.5,-1,0.19001903965432712,-1,0.5,-1
eChild 13,0.02838394474228868,-1,0.9994587678475508,902,0.5,-1,0.5,-1,0.4975049950024995,-1,0.5871907959002844,-1,0.5,-1,0.11674746363517723,-1,0.16459027369737397,-1,0.3225921888586618,-1,0.5,-1,0.19097199180218524,-1,0.5,-1
eChild 14,0.027816265847442907,-1,0.9994802006407879,919,0.5,-1,0.5,-1,0.4955179580629371,-1,0.6044960029702587,-1,0.5,-1,0.13722677236357445,-1,0.12915674033441735,-1,0.3281259268355332,-1,0.5,-1,0.1888817719044643,-1,0.5,-1
eChild 15,0.028963208920702734,-1,0.9992818444374397,954,0.5,-1,0.5,-1,0.49205972090782,-1,0.6163588332955061,-1,0.5,-1,0.08978141342478109,-1,0.14877657134606037,-1,0.3271425331046812,-1,0.5,-1,0.18831569304518486,-1,0.5,-1
eChild 16,0.034043803211861436,-1,0.9993102833977171,947,0.5,-1,0.5,-1,0.4955179580629371,-1,0.5616047292530919,-1,0.5,-1,0.08622606945315976,-1,0.1317925921779769,-1,0.33576414553028516,-1,0.5,-1,0.1898290206146728,-1,0.5,-1
eChild 17,0.03766237410664854,-1,0.9989875461366043,-1,0.5,-1,0.5,-1,0.4980029980005,-1,0.5803150253601815,-1,0.5,-1,0.12156129074883093,-1,0.1549110488817788,-1,0.3281259268355332,-1,0.5,-1,0.18907084274721153,-1,0.5,-1
eChild 18,0.026714741719884166,-1,0.9997047663476933,838,0.5,-1,0.5,-1,0.4935388573568574,-1,0.565703045954254,-1,0.5,-1,0.10553046035348841,-1,0.11441251436247368,-1,0.3281259268355332,-1,0.5,-1,0.18793924997478756,-1,0.5,-1
eChild 19,0.034043803211861436,-1,0.9996002626548429,891,0.5,-1,0.5,-1,0.4930453184995005,-1,0.5766447213694784,-1,0.5,-1,0.09932442504102047,-1,0.14877657134606037,-1,0.32911227665778886,-1,0.5,-1,0.18963919159405812,-1,0.5,-1
eChild 20,0.030772901725368187,-1,0.9993375961751675,943,0.5,-1,0.5,-1,0.4935388573568574,-1,0.5989706505491543,-1,0.5,-1,0.10341985114641865,-1,0.14288501912075638,-1,0.3287831643811311,-1,0.5,-1,0.18793924997478756,-1,0.5,-1
eChild 21,0.03473857470598106,-1,0.9992214003109559,967,0.5,-1,0.5,-1,0.49601397203497205,-1,0.6203368131345917,-1,0.5,-1,0.10341985114641865,-1,0.1679492588748714,-1,0.32845438121674997,-1,0.5,-1,0.18831569304518486,-1,0.5,-1
eChild 22,0.027259940530494048,-1,0.9996863194201538,841,0.5,-1,0.5,-1,0.4940328902471045,-1,0.6111633547301233,-1,0.5,-1,0.13722677236357445,-1,0.1549110488817788,-1,0.32583592451921817,-1,0.5,-1,0.18907084274721153,-1,0.5,-1
eChild 23,0.03921529998609802,-1,0.9993508442516641,931,0.5,-1,0.5,-1,0.4950224401048741,-1,0.5791241786760615,-1,0.5,-1,0.11441251436247368,-1,0.15807249885895797,-1,0.3225921888586618,-1,0.5,-1,0.1898290206146728,-1,0.5,-1
eChild 24,0.015173336843553325,-1,0.9994905966279721,915,0.5,-1,0.5,-1,0.4940328902471045,-1,0.591108382707554,-1,0.5,-1,0.10988177879371971,-1,0.17844314324268734,-1,0.33076278626723676,-1,0.5,-1,0.19001903965432712,-1,0.5,-1
eChild 25,0.028963208920702734,-1,0.9994132146187168,900,0.5,-1,0.5,-1,0.4965104825174895,-1,0.5508746921443283,-1,0.5,-1,0.12404213341717442,-1,0.16459027369737397,-1,0.3168346238132493,-1,0.5,-1,0.18718861985881918,-1,0.5,-1
eChild 26,0.031400920127926724,-1,0.9995205536214744,906,0.5,-1,0.5,-1,0.497007490007497,-1,0.567798429389982,-1,0.5,-1,0.12915674033441735,-1,0.17137679477027692,-1,0.3174692448336718,-1,0.5,-1,0.1888817719044643,-1,0.5,-1
eChild 27,0.030772901725368187,-1,0.999638669100455,847,0.5,-1,0.5,-1,0.49205972090782,-1,0.599745469812226,-1,0.5,-1,0.11913006493385431,-1,0.1612984682234265,-1,0.32194732707313334,-1,0.5,-1,0.18718861985881918,-1,0.5,-1
