english
100 eChildren
1000 sentences
 ,SP, ,HIP, ,HCP, ,OPT, ,NS, ,NT, ,WHM, ,PI, ,TM, ,VtoI, ,ItoC, ,AH, ,QInv, 
eChild 14,0.0001213705135743632,754,5.301298918927153e-05,662,0.1121242640752242,-1,0.5,-1,0.48134731865790303,-1,0.46015646397946924,-1,0.587386205009505,-1,0.9137739305468402,-1,0.15181282790414324,-1,0.07748425307971885,-1,0.5,-1,0.902273295352004,-1,0.5,-1
eChild 15,8.268155346760693e-05,723,2.9507912577896203e-05,632,0.1121242640752242,-1,0.5,-1,0.47798797889067046,-1,0.4592366112079743,-1,0.5939387423885212,-1,0.9083863128318559,-1,0.12156129074883093,-1,0.0641390999003488,-1,0.5,-1,0.9202294609483912,-1,0.5,-1
eChild 16,0.00020112279572466826,808,2.8339399239811513e-05,602,0.11441251436247368,-1,0.5,-1,0.48376129234188364,-1,0.46711434403468166,-1,0.6023812935737007,-1,0.9363160892593394,-1,0.14580103991913917,-1,0.07419285220100269,-1,0.5,-1,0.9064231623925385,-1,0.5,-1
eChild 17,0.0001213705135743632,754,1.484653346895673e-05,600,0.13448223691630296,-1,0.5,-1,0.47703248092086803,-1,0.45786027862494744,-1,0.5890341861567396,-1,0.9026620634597998,-1,0.07189079244385083,-1,0.06960702460019035,-1,0.5,-1,0.9132578657979346,-1,0.5,-1
eChild 18,0.0001711078376008178,785,2.8917754326338278e-05,650,0.08450154806409657,-1,0.5,-1,0.48473026814791137,-1,0.4718112818640303,-1,0.595964992122585,-1,0.9154984519359034,-1,0.14580103991913917,-1,0.09676685321133414,-1,0.5,-1,0.8765082481004665,-1,0.5,-1
eChild 19,0.00012895404293105254,733,2.5616572341683738e-05,631,0.10988177879371971,-1,0.5,-1,0.48182914780570874,-1,0.4606170810605298,-1,0.5919023309409801,-1,0.8944695396465115,-1,0.07638270665693166,-1,0.11011494301348888,-1,0.5,-1,0.8627732276364256,-1,0.5,-1
eChild 20,0.0001485430827599031,744,2.7772611255015284e-05,651,0.13722677236357445,-1,0.5,-1,0.4871612074422248,-1,0.466647229690647,-1,0.592718118181429,-1,0.8759578665828257,-1,0.11441251436247368,-1,0.10332869634868831,-1,0.5,-1,0.8695574888438353,-1,0.5,-1
eChild 21,0.00012384746283098286,730,3.8370680736989354e-05,681,0.14580103991913917,-1,0.5,-1,0.48376129234188364,-1,0.46711434403468166,-1,0.592718118181429,-1,0.9266420485266827,-1,0.11913006493385431,-1,0.08290425219864582,-1,0.5,-1,0.8965801488535813,-1,0.5,-1
eChild 22,9.333664233468268e-05,730,2.6672815849316678e-05,631,0.15181282790414324,-1,0.5,-1,0.4827942535184922,-1,0.4569450159279762,-1,0.5877988188044955,-1,0.8944695396465115,-1,0.09733793654020007,-1,0.06209421005982454,-1,0.5,-1,0.9230842157625866,-1,0.5,-1
eChild 23,8.784770107226467e-05,739,3.2644356322321754e-05,671,0.10988177879371971,-1,0.5,-1,0.47703248092086803,-1,0.4606170810605298,-1,0.5865597379256183,-1,0.9309560829369257,-1,0.11674746363517723,-1,0.08536136212258046,-1,0.5,-1,0.8937330388738295,-1,0.5,-1
